2026-04-08 23:52:14,444 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-04-08 23:52:14,681 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:52:14,913 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
2026-04-08 23:52:15,153 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:52:15,392 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-04-08 23:52:20,976 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:52:31,005 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:52:41,032 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:52:45,710 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-04-08 23:52:45,950 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:52:46,186 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
2026-04-08 23:52:46,424 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:52:46,671 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-04-08 23:52:51,052 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:53:01,072 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:53:11,097 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:53:16,957 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-04-08 23:53:17,195 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:53:17,438 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
2026-04-08 23:53:17,676 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:53:17,910 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-04-08 23:53:21,120 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:53:31,145 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:53:41,171 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:53:48,223 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-04-08 23:53:48,464 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:53:48,699 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
2026-04-08 23:53:48,941 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:53:49,187 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-04-08 23:53:51,194 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:54:01,219 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:54:11,247 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:54:19,508 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-04-08 23:54:19,750 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:54:19,986 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
2026-04-08 23:54:20,221 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:54:20,456 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-04-08 23:54:21,267 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:54:31,284 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:54:41,302 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:54:50,744 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-04-08 23:54:50,979 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:54:51,213 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
2026-04-08 23:54:51,326 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:54:51,454 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:54:51,691 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-04-08 23:55:01,359 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:55:11,386 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:55:21,404 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:55:22,005 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-04-08 23:55:22,242 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:55:22,482 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
2026-04-08 23:55:22,723 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:55:22,961 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-04-08 23:55:31,432 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:55:41,462 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:55:51,498 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:55:53,277 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-04-08 23:55:53,512 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:55:53,750 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
2026-04-08 23:55:53,989 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:55:54,232 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-04-08 23:56:01,516 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:56:11,539 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:56:21,559 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:56:24,513 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-04-08 23:56:24,750 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:56:24,989 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
2026-04-08 23:56:25,224 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:56:25,458 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-04-08 23:56:31,579 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:56:41,597 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:56:51,619 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:56:55,766 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-04-08 23:56:55,999 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:56:56,238 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
2026-04-08 23:56:56,472 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:56:57,142 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-04-08 23:57:01,642 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:57:11,663 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
