INFO:     Started server process [611303]
INFO:     Waiting for application startup.
2026-03-24 10:42:38,957 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:42:49,019 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:42:59,045 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:43:09,069 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:43:19,092 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:43:29,116 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:43:39,148 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:43:49,181 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:43:59,206 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:44:09,237 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:44:19,253 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:44:29,270 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:44:39,295 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:44:42,249 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:44:42,439 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/sendMessage "HTTP/1.1 200 OK"
2026-03-24 10:44:42,451 | app.agents.ceo            | INFO    | Loaded 4 conversation entries from Redis
2026-03-24 10:44:43,981 | httpx                     | INFO    | HTTP Request: POST https://us-central1-aiplatform.googleapis.com/v1/projects/precise-truck-489917-q4/locations/us-central1/publishers/google/models/text-embedding-005:predict "HTTP/1.1 200 OK"
[92m10:44:44 - LiteLLM:INFO[0m: utils.py:2691 - 
LiteLLM completion() model= gemini-2.5-pro; provider = vertex_ai
2026-03-24 10:44:44,350 | LiteLLM                   | INFO    | 
LiteLLM completion() model= gemini-2.5-pro; provider = vertex_ai
2026-03-24 10:44:51,893 | httpx                     | INFO    | HTTP Request: POST https://us-central1-aiplatform.googleapis.com/v1/projects/precise-truck-489917-q4/locations/us-central1/publishers/google/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-03-24 10:44:52,289 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:44:52,820 | httpx                     | INFO    | HTTP Request: POST https://us-central1-aiplatform.googleapis.com/v1/projects/precise-truck-489917-q4/locations/us-central1/publishers/google/models/text-embedding-005:predict "HTTP/1.1 200 OK"
2026-03-24 10:44:52,984 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/sendMessage "HTTP/1.1 200 OK"
2026-03-24 10:45:02,322 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:45:12,353 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:45:22,370 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:45:32,389 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:45:42,408 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
